"BsmtFin SF 1","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Gr Liv Area","SalePrice","Prediction (SalePrice)LR","Prediction (SalePrice)PR"
468,270,882,896,0,896,105000,119510.95064512569,117347.97953117067
923,406,1329,1329,0,1329,172000,195762.14755819223,193945.40186845543
1065,1045,2110,2110,0,2110,244000,313850.78125303827,330240.81548075675
616,722,1338,1338,0,1338,213500,189944.13083550503,182459.9171163207
637,663,1300,1341,0,1341,171500,188401.03602087268,179627.51052325737
1416,234,1650,1690,1589,3279,538000,394085.81938025984,447004.966218752
120,744,864,864,0,864,141000,108742.15429495269,108238.86140465908
885,0,1053,1173,0,1173,170000,163332.1075757203,153008.24528864308
533,281,814,814,860,1674,216000,184720.3749599621,181312.17230807306
1051,354,1405,1337,0,1337,184000,204015.87126962177,209125.35064929238
0,525,525,525,567,1092,88000,104731.32931390163,116366.6175476563
514,341,855,855,601,1456,149900,168102.43679681962,157322.64564873194
0,836,836,836,0,836,120000,101835.73552504595,103607.64971189859
1201,340,1541,1541,0,1541,220000,233386.61177141586,245843.43178002612
110,1588,1698,1698,0,1698,275000,231084.84890338627,237812.049046456
28,1794,1822,1822,0,1822,259000,247402.16571319854,265360.6990594485
578,1093,1671,1687,563,2250,320000,287650.1285361559,281805.6944115045
24,1346,1370,1370,0,1370,205000,180877.43275562898,176452.05049952085
326,58,384,744,630,1374,184500,128192.0426780449,125164.98993939983
625,235,860,860,1100,1960,216500,214194.2032215161,220562.70013748773
0,847,847,847,886,1733,185088,179401.74101061886,178035.74326250676
0,1629,1629,1645,830,2475,355000,290920.7403888281,298375.6083694695
919,801,1720,1720,0,1720,260400,253135.4625960338,258813.37816285432
0,1195,1195,1195,644,1839,221000,209803.64787206863,198879.41372985093
222,769,991,991,956,1947,254900,211730.0148671624,208777.64448552995
1414,54,1468,1468,0,1468,271500,227611.94578902406,248015.57504673046
338,702,1040,1097,0,1097,152000,144620.12008808943,134352.68236844096
899,210,1109,1155,0,1155,148000,166856.65821899162,160899.1193981985
659,381,1040,1040,0,1040,127000,147146.4175880552,140956.46358408514
1298,190,1488,1488,0,1488,260000,227853.25951388018,243235.1493848834
368,190,600,600,600,1200,149500,126797.24192719886,128617.77770750865
728,0,728,788,0,788,155000,108095.95929459542,107984.20695063625
833,659,1492,1492,0,1492,230000,217625.32379055535,216217.70690234506
1137,143,1280,1280,1215,2495,243500,297689.7872448711,318896.01548529573
687,491,1224,1287,604,1891,212500,231698.24959043117,218878.88459181634
569,678,1328,1328,0,1328,143000,186714.9094510648,179813.30819865337
1059,150,1209,1209,0,1209,159000,181288.75334340206,181210.5820278823
1014,138,1152,1152,0,1152,180500,171864.61234052732,170117.81851845662
1500,228,1728,1728,0,1728,84900,267825.2133440317,303225.29852252
49,0,1078,1078,0,1078,142125,130078.64197455606,131357.64972909057
300,482,782,1019,537,1556,172500,167450.1035750655,148455.89011218975
0,728,728,1306,0,1306,76500,136057.14484691128,114524.5378285677
540,728,1268,1268,0,1268,132000,177888.2886569997,169180.17765980837
0,1604,1604,1604,0,1604,135000,214710.82551374787,220634.69054200183
856,125,1143,1143,0,1143,136000,165534.2401517942,161012.8332967799
0,1194,1194,1194,0,1194,148000,154451.9884104044,147561.84637669646
0,832,832,832,505,1337,108000,144537.23383750685,135600.0721822141
648,324,972,972,0,972,122500,136896.41072651593,132032.58171434875
0,576,576,985,0,985,105000,99070.28460860584,92271.90539472614
0,0,0,827,0,827,107500,50641.45497164356,84255.83499032052
481,161,816,816,408,1224,132000,143627.39173543215,133894.34739615966
234,180,900,900,0,900,134800,112687.1099133254,114222.27127813127
717,415,1395,1395,0,1395,192000,198507.46604452335,196403.56623746277
0,576,576,792,348,1140,96500,112174.34276783372,106665.36170362869
0,747,747,747,0,747,80000,88755.15869041775,96326.93829316866
0,624,624,720,0,720,105900,78997.69615759213,89186.91646113148
686,0,686,966,686,1652,139000,178818.2806335599,160500.23019019092
0,346,346,1157,1111,2268,240000,195343.99316976682,199661.69188516669
0,840,840,1128,1128,2256,76500,224078.11568087235,222866.57015792036
788,200,988,1030,582,1612,128500,196034.3853504471,182513.31946095667
474,634,1108,1160,908,2068,209500,235179.44348852165,227783.85584649883
300,480,780,780,636,1416,139900,155102.12718133884,147917.57704416325
276,252,528,548,492,1040,123900,106896.21958261068,113903.31727470324
0,576,576,902,808,1710,140000,161139.81126627492,155097.33627333262
104,0,816,816,0,816,110000,95458.6110269567,101652.2607237589
1026,186,1212,1212,180,1392,100000,196391.97822979136,190968.8906847672
736,120,856,936,744,1680,114900,192604.76866456194,181191.04678064724
0,1768,1768,1768,0,1768,136500,238814.3603550853,254668.3394274729
841,198,1039,1039,0,1039,131500,151232.73617096985,146792.0465815459
371,292,663,663,689,1352,158000,144101.00436526292,143055.7709465944
267,0,720,720,720,1440,163000,148990.55882759698,146825.73787676878
438,234,672,672,714,1386,158900,149125.20786093548,147516.54989809924
1092,328,1420,1483,0,1483,270000,218527.7071095333,222056.31642318438
104,172,663,1074,0,1074,144500,111265.93400996638,100964.6959130499
739,405,1144,1144,0,1144,129000,164292.37343340434,157902.47095988787
192,564,756,1169,0,1531,127000,116528.78587584296,102265.40803795449
0,741,741,977,755,1732,178000,173046.89922167733,161257.89343392657
747,189,936,996,0,996,147000,139108.23317626305,132263.61984401668
504,506,1010,1052,0,1052,155000,142772.04129140216,134165.73829207677
870,0,870,965,0,965,159000,135302.39286536485,128103.36177171496
0,1040,1040,1044,1054,2098,240000,222515.38342046505,224914.778284123
662,186,848,848,0,848,143000,118997.42461873146,118143.30592426975
24,1390,1414,1414,0,1414,185500,187344.2347862317,184239.09307129952
0,744,744,792,328,1120,64000,120591.0073924418,114189.18407401556
94,641,735,798,689,1487,113000,153700.19141428254,147419.7831668485
0,806,806,841,806,1647,128000,169551.53433893007,165254.49658710737
0,804,804,1699,748,2447,169000,238820.7609862882,207561.0457098973
426,850,1528,1225,908,2133,257500,262951.29742438195,272630.48381458176
1406,496,1902,1902,0,1902,335000,291212.05071357655,324531.29330981587
480,0,480,540,0,540,82000,65878.27051666856,87784.76710587433
539,473,1012,1034,0,1034,169900,142146.7087052308,134640.0649732428
0,1958,1958,2048,0,2048,170000,274539.3641162065,303560.4714762163
353,60,747,1687,0,1687,160000,175687.01538324053,144524.51459500668
0,2002,2002,2018,0,2018,378500,274592.6874357141,307554.03903632157
42,1026,1068,1264,0,1264,169000,153897.3840703359,139199.32110864858
0,1430,1430,1430,0,1430,173500,189137.5629381826,187212.3180359152
0,1344,1344,1344,0,1344,166500,176497.90442382277,171929.87109937356
334,212,546,546,546,1092,83500,113786.39216314742,119802.38944399968
150,0,630,630,0,630,75500,71099.98846096896,88470.51474198898
0,546,546,546,546,1092,88250,106017.60472898968,115673.78295655249
1341,54,1679,1803,0,1803,285000,265336.046231642,287604.34855664236
944,208,1152,1152,645,1797,231000,225526.83160874253,217967.84992181807
310,370,680,680,790,1470,185000,153838.5689950292,154633.33901452372
600,107,707,707,809,1516,181316,166180.8979368732,164121.3984248021
0,1181,1181,1190,0,1190,166000,153321.3600369873,146027.7129434257
694,284,978,1005,978,1983,225000,225023.9419612112,223133.35331563302
0,1424,1424,1442,0,1442,180500,189815.76165980412,187245.46926453564
1036,184,1220,1360,0,1360,187500,194504.08584319826,189512.74738154514
0,1362,1362,1586,0,1586,181000,198557.1877411802,189514.42414113524
0,832,832,1154,896,2050,154000,205961.6642974688,193287.98929299234
1104,1420,2524,2524,0,2524,278000,375604.6433121452,386131.70312338555
0,1090,1090,1370,0,1370,152000,163434.03671911848,146701.4295737739
381,399,780,1088,780,1868,197500,196024.01795047958,179144.19462147282
544,288,832,832,1103,1935,263435,208452.08300322318,215631.33440245868
