"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income","age-bin","P (sex=Female)DT","P (sex=Male)DT","Prediction (sex)DT","P (sex=Female)LR","P (sex=Male)LR","Prediction (sex)LR"
17,"Private",304873,"10th",6,"Never-married","Prof-specialty","Own-child","White","Female",34095,0,32,"United-States","<=50K","34 or less",0.06666666666666667,0.9333333333333333,"Male",0.4463503634112931,0.5536496365887069,"Male"
17,"Private",245918,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","<=50K","34 or less",0.6666666666666666,0.3333333333333333,"Female",0.5942873146477871,0.405712685352213,"Female"
17,"Private",270942,"5th-6th",3,"Never-married","Other-service","Other-relative","White","Male",0,0,48,"Mexico","<=50K","34 or less",0.08333333333333333,0.9166666666666666,"Male",0.36197514686245086,0.6380248531375492,"Male"
17,"Private",89821,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,10,"United-States","<=50K","34 or less",0.8461538461538461,0.15384615384615385,"Female",0.6504634571438097,0.34953654285619035,"Female"
17,"Private",258872,"11th",7,"Never-married","Prof-specialty","Own-child","White","Female",0,0,5,"United-States","<=50K","34 or less",1.0,0.0,"Female",0.630151903751892,0.3698480962481081,"Female"
17,"Private",211870,"9th",5,"Never-married","Other-service","Not-in-family","White","Male",0,0,6,"United-States","<=50K","34 or less",1.0,0.0,"Female",0.5805356141421021,0.41946438585789797,"Female"
17,"Self-emp-not-inc",368700,"11th",7,"Never-married","Farming-fishing","Own-child","White","Male",0,0,10,"United-States","<=50K","34 or less",0.02027027027027027,0.9797297297297297,"Male",0.0583947510065339,0.9416052489934661,"Male"
17,"Private",46496,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,5,"United-States","<=50K","34 or less",1.0,0.0,"Female",0.6870840206745121,0.3129159793254878,"Female"
17,"Private",103851,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",1055,0,20,"United-States","<=50K","34 or less",0.6666666666666666,0.3333333333333333,"Female",0.7549077076188402,0.24509229238115984,"Female"
17,"Private",158762,"10th",6,"Never-married","Prof-specialty","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less",0.4,0.6,"Male",0.5463928142437006,0.45360718575629944,"Female"
17,"Private",200199,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,35,"United-States","<=50K","34 or less",0.6666666666666666,0.3333333333333333,"Female",0.46762270162976527,0.5323772983702346,"Male"
17,"Private",139183,"10th",6,"Never-married","Prof-specialty","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less",0.4,0.6,"Male",0.5797912187391464,0.42020878126085365,"Female"
17,"Local-gov",246308,"11th",7,"Never-married","Prof-specialty","Own-child","White","Female",0,0,20,"Puerto-Rico","<=50K","34 or less",1.0,0.0,"Female",0.6874842521840253,0.31251574781597474,"Female"
17,"Private",137042,"10th",6,"Never-married","Prof-specialty","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less",0.4,0.6,"Male",0.5531022718836863,0.4468977281163137,"Female"
17,"Private",226980,"12th",8,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,17,"United-States","<=50K","34 or less",0.02027027027027027,0.9797297297297297,"Male",0.1211641924396833,0.8788358075603167,"Male"
17,"Private",454614,"11th",7,"Never-married","Prof-specialty","Own-child","White","Female",0,0,8,"United-States","<=50K","34 or less",0.2,0.8,"Male",0.5552132045745644,0.4447867954254357,"Female"
17,"Private",130795,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less",1.0,0.0,"Female",0.5522132588317752,0.44778674116822476,"Female"
17,"Private",186067,"10th",6,"Never-married","Tech-support","Own-child","White","Male",0,0,10,"United-States","<=50K","34 or less",0.9166666666666666,0.08333333333333333,"Female",0.5712759717823408,0.42872402821765926,"Female"
17,"Private",406920,"10th",6,"Never-married","Prof-specialty","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less",0.25,0.75,"Male",0.3614454978984855,0.6385545021015144,"Male"
17,"Private",99161,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,8,"United-States","<=50K","34 or less",0.25,0.75,"Male",0.6263048741133476,0.3736951258866524,"Female"
17,"Private",186677,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,12,"United-States","<=50K","34 or less",0.060240963855421686,0.9397590361445783,"Male",0.17926686888469384,0.8207331311153062,"Male"
17,"Private",33138,"12th",8,"Never-married","Sales","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less",0.25,0.75,"Male",0.41799022508386074,0.5820097749161393,"Male"
17,"Private",169037,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less",0.028037383177570093,0.9719626168224299,"Male",0.10688051773987133,0.8931194822601287,"Male"
17,"Self-emp-not-inc",36218,"11th",7,"Never-married","Farming-fishing","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less",0.060240963855421686,0.9397590361445783,"Male",0.06990350480717156,0.9300964951928284,"Male"
17,"Private",413557,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0,0,32,"United-States","<=50K","34 or less",0.6666666666666666,0.3333333333333333,"Female",0.615302785885975,0.384697214114025,"Female"
17,"Private",151141,"12th",8,"Never-married","Sales","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less",1.0,0.0,"Female",0.49180166404319375,0.5081983359568062,"Male"
17,"Local-gov",308901,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less",1.0,0.0,"Female",0.7885397577752611,0.21146024222473897,"Female"
17,"Private",126771,"12th",8,"Never-married","Prof-specialty","Own-child","White","Male",0,0,7,"United-States","<=50K","34 or less",0.14285714285714285,0.8571428571428571,"Male",0.5877629092416711,0.412237090758329,"Female"
17,"Private",108402,"10th",6,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less",0.8947368421052632,0.10526315789473684,"Female",0.5452319881136525,0.45476801188634747,"Female"
17,"Self-emp-not-inc",181317,"10th",6,"Never-married","Farming-fishing","Own-child","White","Male",0,0,35,"United-States","<=50K","34 or less",0.03125,0.96875,"Male",0.03765324551137382,0.9623467544886262,"Male"
17,"Private",331552,"12th",8,"Never-married","Adm-clerical","Own-child","White","Female",0,0,30,"United-States","<=50K","34 or less",0.8333333333333334,0.16666666666666666,"Female",0.578859838252869,0.421140161747131,"Female"
17,"Self-emp-inc",325171,"10th",6,"Never-married","Other-service","Own-child","Black","Male",0,0,35,"United-States","<=50K","34 or less",0.0,1.0,"Male",0.25854637810003456,0.7414536218999654,"Male"
17,"Private",260797,"10th",6,"Never-married","Handlers-cleaners","Own-child","White","Female",0,0,23,"United-States","<=50K","34 or less",0.02027027027027027,0.9797297297297297,"Male",0.11957894287771653,0.8804210571222835,"Male"
17,"Private",303317,"11th",7,"Never-married","Prof-specialty","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less",0.3333333333333333,0.6666666666666666,"Male",0.42501357840435233,0.5749864215956476,"Male"
17,"Never-worked",237272,"10th",6,"Never-married","Prof-specialty","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less",0.06666666666666667,0.9333333333333333,"Male",0.3343699014484646,0.6656300985515353,"Male"
17,"Private",112942,"10th",6,"Never-married","Prof-specialty","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less",0.05263157894736842,0.9473684210526315,"Male",0.44961884611828745,0.5503811538817126,"Male"
17,"Private",142457,"11th",7,"Never-married","Other-service","Own-child","Black","Male",0,0,20,"United-States","<=50K","34 or less",0.6666666666666666,0.3333333333333333,"Female",0.6617470686296437,0.33825293137035634,"Female"
17,"Private",176467,"9th",5,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,20,"United-States","<=50K","34 or less",0.05,0.95,"Male",0.07858563577495817,0.9214143642250417,"Male"
17,"Private",158704,"10th",6,"Never-married","Sales","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less",0.9333333333333333,0.06666666666666667,"Female",0.5296269984643501,0.4703730015356498,"Female"
17,"Private",140027,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less",0.0,1.0,"Male",0.5558396580019197,0.4441603419980804,"Female"
17,"Private",86786,"10th",6,"Never-married","Prof-specialty","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less",0.05263157894736842,0.9473684210526315,"Male",0.45770925806872664,0.5422907419312734,"Male"
17,"Private",225106,"10th",6,"Never-married","Other-service","Own-child","White","Female",0,1602,18,"United-States","<=50K","34 or less",0.16666666666666666,0.8333333333333334,"Male",0.5029775912330628,0.4970224087669371,"Female"
17,"Private",95446,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less",0.25,0.75,"Male",0.5902763764084881,0.40972362359151193,"Female"
17,"Private",70868,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less",0.060240963855421686,0.9397590361445783,"Male",0.1322828962219492,0.8677171037780509,"Male"
17,"Private",126832,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less",0.0,1.0,"Male",0.4979531707455887,0.5020468292544114,"Male"
17,"Private",170455,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,8,"United-States","<=50K","34 or less",0.25,0.75,"Male",0.6245382520852836,0.3754617479147164,"Female"
17,"Private",25051,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less",0.3333333333333333,0.6666666666666666,"Male",0.606037474575726,0.39396252542427407,"Female"
17,"Private",207637,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,10,"United-States","<=50K","34 or less",0.060240963855421686,0.9397590361445783,"Male",0.18198886477951826,0.8180111352204817,"Male"
17,"Private",171080,"12th",8,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less",0.060240963855421686,0.9397590361445783,"Male",0.12147740542173842,0.8785225945782615,"Male"
17,"Private",146329,"12th",8,"Never-married","Sales","Own-child","White","Female",0,0,23,"United-States","<=50K","34 or less",1.0,0.0,"Female",0.47661307195944874,0.5233869280405513,"Male"
17,"Private",153035,"10th",6,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less",0.9333333333333333,0.06666666666666667,"Female",0.5313891415769926,0.46861085842300737,"Female"
17,"Private",51939,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less",0.16666666666666666,0.8333333333333334,"Male",0.6226564380158119,0.3773435619841881,"Female"
17,"Private",332666,"10th",6,"Never-married","Prof-specialty","Own-child","White","Female",0,0,4,"United-States","<=50K","34 or less",1.0,0.0,"Female",0.5806579178935756,0.4193420821064244,"Female"
17,"Private",215743,"11th",7,"Never-married","Prof-specialty","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less",0.3333333333333333,0.6666666666666666,"Male",0.4519158511377983,0.5480841488622017,"Male"
17,"Private",159299,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less",0.7777777777777778,0.2222222222222222,"Female",0.5772801380320143,0.4227198619679858,"Female"
17,"Private",806316,"11th",7,"Never-married","Prof-specialty","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less",0.75,0.25,"Female",0.38119764764773,0.61880235235227,"Male"
17,"Private",63734,"10th",6,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less",0.125,0.875,"Male",0.15661097109961564,0.8433890289003844,"Male"
17,"Private",239346,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,18,"United-States","<=50K","34 or less",0.16666666666666666,0.8333333333333334,"Male",0.5296390861735251,0.47036091382647494,"Female"
17,"Private",342752,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less",0.0,1.0,"Male",0.5483592501947104,0.4516407498052896,"Female"
17,"Private",64785,"10th",6,"Never-married","Prof-specialty","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less",0.4,0.6,"Male",0.5201489769850748,0.4798510230149252,"Female"
17,"Private",52486,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,12,"United-States","<=50K","34 or less",0.8461538461538461,0.15384615384615385,"Female",0.6509280504992748,0.34907194950072523,"Female"
17,"Private",101626,"9th",5,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less",0.4,0.6,"Male",0.324532164772719,0.675467835227281,"Male"
17,"Private",220562,"9th",5,"Never-married","Sales","Other-relative","Other","Female",0,0,32,"Mexico","<=50K","34 or less",0.1111111111111111,0.8888888888888888,"Male",0.38448444353175104,0.6155155564682488,"Male"
17,"Private",152696,"12th",8,"Never-married","Other-service","Own-child","White","Female",0,0,30,"United-States","<=50K","34 or less",0.7777777777777778,0.2222222222222222,"Female",0.4498324795466425,0.5501675204533575,"Male"
17,"Private",218361,"10th",6,"Never-married","Other-service","Own-child","White","Female",0,1602,12,"United-States","<=50K","34 or less",0.0,1.0,"Male",0.5384187526817364,0.4615812473182636,"Female"
17,"Private",271837,"Some-college",10,"Never-married","Craft-repair","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less",0.02027027027027027,0.9797297297297297,"Male",0.11367156930036969,0.8863284306996303,"Male"
17,"Private",78602,"11th",7,"Never-married","Other-service","Other-relative","White","Female",0,0,20,"United-States","<=50K","34 or less",0.8461538461538461,0.15384615384615385,"Female",0.6171556012894783,0.3828443987105216,"Female"
