"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income","age-bin","Prediction (income)"
17,"Private",270942,"5th-6th",3,"Never-married","Other-service","Other-relative","White","Male",0,0,48,"Mexico","<=50K","34 or less","<=50K"
17,,202521,"11th",7,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
17,"Private",211870,"9th",5,"Never-married","Other-service","Not-in-family","White","Male",0,0,6,"United-States","<=50K","34 or less","<=50K"
17,,80077,"11th",7,"Never-married",,"Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",102726,"12th",8,"Never-married","Other-service","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less","<=50K"
17,"Private",32607,"10th",6,"Never-married","Farming-fishing","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",197850,"11th",7,"Never-married","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0,0,24,"United-States","<=50K","34 or less","<=50K"
17,"Private",163494,"10th",6,"Never-married","Sales","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
17,"Private",130806,"10th",6,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,24,"United-States","<=50K","34 or less","<=50K"
17,"Private",263746,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,24,"United-States","<=50K","34 or less","<=50K"
17,"Private",160118,"12th",8,"Never-married","Sales","Not-in-family","White","Female",0,0,10,,"<=50K","34 or less","<=50K"
17,"Private",48610,"11th",7,"Never-married","Farming-fishing","Own-child","White","Male",0,0,45,"United-States","<=50K","34 or less","<=50K"
17,"Private",156501,"12th",8,"Never-married","Other-service","Own-child","White","Female",0,0,16,"United-States","<=50K","34 or less","<=50K"
17,"Private",137042,"10th",6,"Never-married","Prof-specialty","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",198146,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less","<=50K"
17,"Private",132755,"11th",7,"Never-married","Sales","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
17,"Private",226980,"12th",8,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,17,"United-States","<=50K","34 or less","<=50K"
17,,454614,"11th",7,"Never-married",,"Own-child","White","Female",0,0,8,"United-States","<=50K","34 or less","<=50K"
17,"Private",186067,"10th",6,"Never-married","Tech-support","Own-child","White","Male",0,0,10,"United-States","<=50K","34 or less","<=50K"
17,"Private",208463,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Local-gov",148194,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0,0,12,"United-States","<=50K","34 or less","<=50K"
17,,297117,"11th",7,"Never-married",,"Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
17,,237078,"11th",7,"Never-married",,"Own-child","White","Female",0,0,35,"United-States","<=50K","34 or less","<=50K"
17,"Private",226717,"12th",8,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,,144114,"10th",6,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
17,"Private",413557,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0,0,32,"United-States","<=50K","34 or less","<=50K"
17,"Private",151141,"12th",8,"Never-married","Sales","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",96282,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,14,"United-States","<=50K","34 or less","<=50K"
17,"Private",75333,"10th",6,"Never-married","Sales","Own-child","Black","Female",0,0,24,"United-States","<=50K","34 or less","<=50K"
17,,262196,"10th",6,"Never-married",,"Own-child","White","Male",0,0,8,"United-States","<=50K","34 or less","<=50K"
17,"Private",331552,"12th",8,"Never-married","Adm-clerical","Own-child","White","Female",0,0,30,"United-States","<=50K","34 or less","<=50K"
17,"Private",270942,"HS-grad",9,"Never-married","Other-service","Other-relative","White","Male",0,0,35,"Mexico","<=50K","34 or less","<=50K"
17,"Private",95799,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,18,"United-States","<=50K","34 or less","<=50K"
17,,112942,"10th",6,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
17,"Private",133449,"9th",5,"Never-married","Other-service","Own-child","Black","Male",0,0,26,"United-States","<=50K","34 or less","<=50K"
17,,148769,"HS-grad",9,"Never-married",,"Own-child","Black","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
17,"Private",173807,"11th",7,"Never-married","Craft-repair","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less","<=50K"
17,,181337,"10th",6,"Never-married",,"Own-child","Other","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",168203,"7th-8th",4,"Never-married","Farming-fishing","Other-relative","Other","Male",0,0,40,"Mexico","<=50K","34 or less","<=50K"
17,"Private",207791,"10th",6,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",194612,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
17,"Private",70868,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less","<=50K"
17,"Private",171080,"12th",8,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",438996,"10th",6,"Never-married","Other-service","Other-relative","White","Male",0,0,40,"Mexico","<=50K","34 or less","<=50K"
17,,161259,"10th",6,"Never-married",,"Other-relative","White","Male",0,0,12,"United-States","<=50K","34 or less","<=50K"
17,"Private",350995,"12th",8,"Never-married","Other-service","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less","<=50K"
17,"Private",121287,"9th",5,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
17,"Private",159299,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",98675,"9th",5,"Never-married","Other-service","Unmarried","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",321880,"10th",6,"Never-married","Other-service","Own-child","Black","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
17,,145258,"11th",7,"Never-married",,"Other-relative","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
17,"Private",342752,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
17,"Private",241185,"12th",8,"Never-married","Prof-specialty","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",266134,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","<=50K","34 or less","<=50K"
17,"Private",123335,"10th",6,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",230789,"9th",5,"Never-married","Sales","Own-child","Black","Male",0,0,22,"United-States","<=50K","34 or less","<=50K"
17,,67808,"10th",6,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
17,"Private",52486,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,12,"United-States","<=50K","34 or less","<=50K"
