"age","workclass","fnlwgt","education","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country"
53,"Private",234721,"11th","Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"United-States"
25,"Self-emp-not-inc",176756,"HS-grad","Never-married","Farming-fishing","Own-child","White","Male",0,0,35,"United-States"
43,"Self-emp-not-inc",292175,"Masters","Divorced","Exec-managerial","Unmarried","White","Female",0,0,45,"United-States"
30,"Federal-gov",59951,"Some-college","Married-civ-spouse","Adm-clerical","Own-child","White","Male",0,0,40,"United-States"
30,"Private",188146,"HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",5013,0,40,"United-States"
42,"Private",116632,"Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States"
40,"Private",32214,"Assoc-acdm","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States"
67,,212759,"10th","Married-civ-spouse",,"Husband","White","Male",0,0,2,"United-States"
37,"Private",202683,"Some-college","Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States"
29,"Private",103432,"HS-grad","Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
32,"Self-emp-inc",317660,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States"
56,"Self-emp-inc",303090,"Some-college","Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States"
20,"Private",111697,"Some-college","Never-married","Adm-clerical","Own-child","White","Female",0,1719,28,"United-States"
38,"Federal-gov",125933,"Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"Iran"
20,"Private",34310,"Some-college","Never-married","Sales","Own-child","White","Male",0,0,20,"United-States"
49,"Private",81973,"Some-college","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States"
43,,174662,"Some-college","Divorced",,"Not-in-family","White","Female",0,0,40,"United-States"
71,"Self-emp-not-inc",494223,"Some-college","Separated","Sales","Unmarried","Black","Male",0,1816,2,"United-States"
42,"Private",228456,"Bachelors","Separated","Other-service","Other-relative","Black","Male",0,0,50,"United-States"
51,"Private",96062,"Some-college","Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United-States"
18,"Private",183930,"HS-grad","Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States"
53,,135105,"Bachelors","Divorced",,"Not-in-family","White","Female",0,0,50,"United-States"
26,"Private",397317,"Masters","Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,40,"United-States"
51,"Private",259323,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States"
58,"Self-emp-inc",210563,"HS-grad","Married-civ-spouse","Sales","Wife","White","Female",15024,0,35,"United-States"
38,"Private",182609,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"Poland"
45,"Private",109434,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States"
75,"Private",314209,"Assoc-voc","Widowed","Adm-clerical","Not-in-family","White","Female",0,0,20,"Columbia"
25,"Private",159732,"Some-college","Never-married","Adm-clerical","Not-in-family","White","Male",0,0,42,"United-States"
33,"Private",110978,"Some-college","Divorced","Craft-repair","Other-relative","Other","Female",0,0,40,"United-States"
28,"Private",76714,"Prof-school","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,55,"United-States"
40,"Private",347890,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
42,"Self-emp-not-inc",303044,"HS-grad","Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male",0,0,40,"Cambodia"
35,"Private",190174,"Some-college","Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States"
22,"Private",34918,"Bachelors","Never-married","Prof-specialty","Not-in-family","White","Female",0,0,15,"Germany"
57,"Federal-gov",425161,"Masters","Married-civ-spouse","Sales","Husband","White","Male",15024,0,40,"United-States"
36,"Private",200352,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States"
21,"Private",153718,"Some-college","Never-married","Other-service","Not-in-family","Asian-Pac-Islander","Female",0,0,25,"United-States"
41,"Self-emp-inc",34987,"Some-college","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,54,"United-States"
43,"Private",50356,"Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",0,1485,50,"United-States"
58,"Self-emp-not-inc",321171,"HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States"
45,"Private",261192,"HS-grad","Married-civ-spouse","Other-service","Husband","Black","Male",0,0,40,"United-States"
26,"Private",94936,"Assoc-acdm","Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States"
22,"State-gov",293364,"Some-college","Never-married","Protective-serv","Own-child","Black","Female",0,0,40,"United-States"
30,,151989,"Assoc-voc","Divorced",,"Unmarried","White","Female",0,0,40,"United-States"
31,"Private",156464,"Bachelors","Never-married","Prof-specialty","Own-child","White","Male",0,0,25,"United-States"
33,"Private",111363,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States"
26,"Self-emp-not-inc",117125,"9th","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Portugal"
35,"Private",220098,"HS-grad","Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States"
32,"Private",364657,"Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States"
31,"State-gov",1033222,"Some-college","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States"
34,"Local-gov",243867,"11th","Separated","Machine-op-inspct","Not-in-family","Black","Male",0,0,40,"United-States"
32,"State-gov",92003,"Bachelors","Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States"
33,"Private",228528,"10th","Never-married","Craft-repair","Unmarried","White","Female",0,0,35,"United-States"
