player,salary,position,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Stephen Curry,43006362.0,PG,31,GSW,5,5,27.8,6.6,16.4,0.402,2.4,9.8,0.245,4.2,6.6,0.636,0.476,5.2,5.2,1.0,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8
Russell Westbrook,41358814.0,PG,31,HOU,57,57,35.9,10.6,22.5,0.472,1.0,3.7,0.258,9.6,18.7,0.514,0.493,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2
Chris Paul,41358814.0,PG,34,OKC,70,70,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.5539999999999999,0.552,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6
James Harden,40824000.0,SG,30,HOU,68,68,36.5,9.9,22.3,0.444,4.4,12.4,0.355,5.5,9.9,0.556,0.5429999999999999,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3
LeBron James,39219565.0,PG,35,LAL,67,67,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3
Blake Griffin,36595996.0,PF,30,DET,18,18,28.4,4.9,13.9,0.352,1.5,6.2,0.243,3.4,7.7,0.439,0.406,4.2,5.4,0.7759999999999999,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
Paul George,35450412.0,SF,29,LAC,48,48,29.6,7.1,16.3,0.439,3.3,7.9,0.412,3.9,8.4,0.4639999999999999,0.539,4.0,4.5,0.8759999999999999,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5
Mike Conley,34504132.0,PG,32,UTA,47,41,29.0,4.9,12.1,0.409,2.0,5.4,0.375,2.9,6.6,0.437,0.494,2.4,3.0,0.8270000000000001,0.7,2.5,3.2,4.4,0.8,0.1,2.0,2.2,14.4
Jimmy Butler,34379100.0,SF,30,MIA,58,58,33.8,5.9,13.1,0.455,0.5,2.1,0.244,5.4,11.0,0.495,0.474,7.6,9.1,0.8340000000000001,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4,19.9
Kemba Walker,34379100.0,PG,29,BOS,56,56,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.8640000000000001,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4
Kawhi Leonard,34379100.0,SF,28,LAC,57,57,32.4,9.3,19.9,0.47,2.2,5.7,0.3779999999999999,7.2,14.2,0.506,0.524,6.2,7.1,0.8859999999999999,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1
Tobias Harris,33517241.0,PF,27,PHI,72,72,34.3,7.7,16.3,0.471,1.8,5.0,0.367,5.9,11.3,0.517,0.527,2.4,3.0,0.8059999999999999,1.0,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6
Kyrie Irving,33329100.0,PG,27,BRK,20,20,32.9,10.0,20.8,0.478,2.8,7.1,0.3939999999999999,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4
